Geography,Date,Value
British Columbia,10/1/2001,"1,617,748"
Yukon,10/1/2001,"15,185"
Northwest Territories,10/1/2001,"22,833"
Nunavut,10/1/2001,"12,533"
Canada,11/1/2001,"12,938,565"
Newfoundland and Labrador,11/1/2001,"183,259"
Prince Edward Island,11/1/2001,"57,116"
Nova Scotia,11/1/2001,"364,182"
New Brunswick,11/1/2001,"293,444"
Quebec,11/1/2001,"3,054,241"
Ontario,11/1/2001,"5,032,226"
Manitoba,11/1/2001,"498,488"
Saskatchewan,11/1/2001,"373,739"
Alberta,11/1/2001,"1,421,193"
British Columbia,11/1/2001,"1,610,338"
Yukon,11/1/2001,"15,134"
Northwest Territories,11/1/2001,"22,626"
Nunavut,11/1/2001,"12,577"
Canada,12/1/2001,"12,954,108"
Newfoundland and Labrador,12/1/2001,"181,292"
Prince Edward Island,12/1/2001,"57,029"
Nova Scotia,12/1/2001,"364,390"
New Brunswick,12/1/2001,"290,174"
Quebec,12/1/2001,"3,060,240"
Ontario,12/1/2001,"5,045,080"
Manitoba,12/1/2001,"496,922"
Saskatchewan,12/1/2001,"374,327"
Alberta,12/1/2001,"1,420,351"
British Columbia,12/1/2001,"1,613,861"
Yukon,12/1/2001,"15,058"
Northwest Territories,12/1/2001,"22,947"
Nunavut,12/1/2001,"12,435"
Canada,1/1/2002,"12,980,991"
Newfoundland and Labrador,1/1/2002,"183,546"
Prince Edward Island,1/1/2002,"57,333"
Nova Scotia,1/1/2002,"365,234"
New Brunswick,1/1/2002,"292,234"
Quebec,1/1/2002,"3,050,707"
Ontario,1/1/2002,"5,055,777"
Manitoba,1/1/2002,"499,666"
Saskatchewan,1/1/2002,"376,902"
Alberta,1/1/2002,"1,433,304"
British Columbia,1/1/2002,"1,615,298"
Yukon,1/1/2002,"15,162"
Northwest Territories,1/1/2002,"23,140"
Nunavut,1/1/2002,"12,687"
Canada,2/1/2002,"13,054,636"
Newfoundland and Labrador,2/1/2002,"184,949"
Prince Edward Island,2/1/2002,"57,059"
