Products and product groups 4,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
All-items,78.4,82.8,84,85.6,85.7,87.6,88.9,90.4,91.3,92.9,95.4,97.8,100,102.8,104.7,107,109.1,111.5,114.1,114.4,116.5,119.9,121.7,122.8,125.2,126.6,128.4,130.4,133.4,136,137,141.6,151.2,157.1
Food,79.6,83.4,83.1,84.5,84.9,86.9,88,89.4,90.9,92,93.3,97.4,100,101.7,103.8,106.4,108.9,111.8,115.7,121.4,123.1,127.7,130.8,132.4,135.5,140.5,142.6,142.7,145.3,150.2,153.7,157.5,171.5,184.3
Clothing and footwear,86.1,94.3,95.1,96,96.8,96.7,96.4,97.7,98.8,100.1,100.3,100.7,100,98.2,98,97.6,95.8,95.7,93.8,93.4,91.6,91.9,92,92.1,93.2,94.6,94.4,93.7,94.5,96.1,94.4,94.1,95.4,96.4
Transportation,71.6,72.9,74.4,76.8,80.2,84.3,87.6,90.3,89.6,92.6,97.2,97.3,100,105.2,107.7,112,115.2,117.1,119.5,113.1,118,125.6,128.1,129,130.4,126.5,127.9,132.9,139.1,141.5,141.2,151.4,167.5,169
Gasoline,82.7,81.5,78.6,77.4,76.5,80.1,83.6,85.2,77.9,84.9,103.5,100.8,100,106.4,117.6,132.6,139.8,146.1,164.7,135.8,148.2,177.8,182.3,183.4,183.8,153.4,144.2,161.2,181.5,170.5,146.7,192.4,247.2,228.4
Health and personal care,79.1,84.7,86.6,88.9,89.7,89.6,90.1,91.7,93.6,95.4,97,98.9,100,101.4,102.8,104.6,105.9,107.3,108.8,112.1,115.1,117.1,118.7,118.3,119,120.5,122.2,124.3,125.9,127.4,129.2,132.6,138,145.8
