Province,Date,Value
Saskatchewan,7/1/1998,56.9
Saskatchewan,7/1/1998,56.9
Alberta,7/1/1998,47.5
Alberta,7/1/1998,48.9
British Columbia,7/1/1998,53
British Columbia,7/1/1998,52.3
Yukon,7/1/1998,67.3
Northwest Territories,7/1/1998,71.9
Newfoundland and Labrador,8/1/1998,63.9
Prince Edward Island,8/1/1998,52.1
Nova Scotia,8/1/1998,56.7
New Brunswick,8/1/1998,52.7
Quebec,8/1/1998,53.6
Quebec,8/1/1998,54.6
Ottawa-Gatineau,8/1/1998,50.7
Ontario,8/1/1998,51.4
Ontario,8/1/1998,52.6
Manitoba,8/1/1998,53.9
Saskatchewan,8/1/1998,54.1
Saskatchewan,8/1/1998,56.9
Alberta,8/1/1998,47.1
Alberta,8/1/1998,48.9
British Columbia,8/1/1998,48.2
British Columbia,8/1/1998,53.2
Yukon,8/1/1998,66.9
Northwest Territories,8/1/1998,71.9
Newfoundland and Labrador,9/1/1998,63.9
Prince Edward Island,9/1/1998,50.1
Nova Scotia,9/1/1998,56.7
New Brunswick,9/1/1998,53
Quebec,9/1/1998,55.6
Quebec,9/1/1998,54.7
Ottawa-Gatineau,9/1/1998,47.8
Ontario,9/1/1998,51.7
Ontario,9/1/1998,53.9
Manitoba,9/1/1998,53.9
Saskatchewan,9/1/1998,53.3
Saskatchewan,9/1/1998,56.9
Alberta,9/1/1998,46.7
Alberta,9/1/1998,48.9
British Columbia,9/1/1998,44.8
British Columbia,9/1/1998,53.6
Yukon,9/1/1998,66.7
Northwest Territories,9/1/1998,71.9
Newfoundland and Labrador,10/1/1998,63.9
Prince Edward Island,10/1/1998,49.7
Nova Scotia,10/1/1998,56.7
New Brunswick,10/1/1998,56.9
Quebec,10/1/1998,56.6
Quebec,10/1/1998,56.3
Ottawa-Gatineau,10/1/1998,51.1
Ontario,10/1/1998,53.4
Ontario,10/1/1998,53.1
Manitoba,10/1/1998,53.9
Saskatchewan,10/1/1998,56.5
Saskatchewan,10/1/1998,56.7
Alberta,10/1/1998,45.9
Alberta,10/1/1998,48.1
British Columbia,10/1/1998,50
British Columbia,10/1/1998,53.6
Yukon,10/1/1998,66.5
Northwest Territories,10/1/1998,71.9
Newfoundland and Labrador,11/1/1998,63.9
Prince Edward Island,11/1/1998,50.8
Nova Scotia,11/1/1998,56.7
New Brunswick,11/1/1998,56.7
Quebec,11/1/1998,56
Quebec,11/1/1998,55.6
Ottawa-Gatineau,11/1/1998,51.1
Ontario,11/1/1998,52.2
Ontario,11/1/1998,54.8
Manitoba,11/1/1998,53.9
Saskatchewan,11/1/1998,56.9
Saskatchewan,11/1/1998,55.9
Alberta,11/1/1998,45.7
Alberta,11/1/1998,48.9
British Columbia,11/1/1998,47.3
British Columbia,11/1/1998,53.8
Yukon,11/1/1998,66.5
Northwest Territories,11/1/1998,71.9
Newfoundland and Labrador,12/1/1998,62
Prince Edward Island,12/1/1998,50.8
Nova Scotia,12/1/1998,54
New Brunswick,12/1/1998,54.6
Quebec,12/1/1998,51.8
Quebec,12/1/1998,52.8
Ottawa-Gatineau,12/1/1998,48.1
Ontario,12/1/1998,49.2
Ontario,12/1/1998,50
Manitoba,12/1/1998,53.1
Saskatchewan,12/1/1998,55.7
Saskatchewan,12/1/1998,55.8
Alberta,12/1/1998,43.7
Alberta,12/1/1998,48.3
British Columbia,12/1/1998,46.9
British Columbia,12/1/1998,52.2
Yukon,12/1/1998,65.7
Northwest Territories,12/1/1998,71.9
Newfoundland and Labrador,1/1/1999,59.6
Prince Edward Island,1/1/1999,49.7
Nova Scotia,1/1/1999,52.9
New Brunswick,1/1/1999,49.6
Quebec,1/1/1999,54.2
Quebec,1/1/1999,55.8
Ottawa-Gatineau,1/1/1999,48.8
Ontario,1/1/1999,50.2
Ontario,1/1/1999,50.7
Manitoba,1/1/1999,52.7
Saskatchewan,1/1/1999,55.2
Saskatchewan,1/1/1999,54.7
Alberta,1/1/1999,42.9
Alberta,1/1/1999,47.1
British Columbia,1/1/1999,45.6
British Columbia,1/1/1999,49.9
Yukon,1/1/1999,65.6
Northwest Territories,1/1/1999,70.2
Newfoundland and Labrador,2/1/1999,58.9
Prince Edward Island,2/1/1999,49.6
Nova Scotia,2/1/1999,51.9
New Brunswick,2/1/1999,50.9
Quebec,2/1/1999,53.7
Quebec,2/1/1999,52.2
Ottawa-Gatineau,2/1/1999,47
Ontario,2/1/1999,48.6
Ontario,2/1/1999,49.2
Manitoba,2/1/1999,51.5
Saskatchewan,2/1/1999,54.4
Saskatchewan,2/1/1999,52.9
Alberta,2/1/1999,42.9
Alberta,2/1/1999,45.9
British Columbia,2/1/1999,45
British Columbia,2/1/1999,49.9
Yukon,2/1/1999,60.9
Northwest Territories,2/1/1999,69.9
Newfoundland and Labrador,3/1/1999,58.9
Prince Edward Island,3/1/1999,48
Nova Scotia,3/1/1999,51.9
New Brunswick,3/1/1999,50.2
Quebec,3/1/1999,56.7
Quebec,3/1/1999,58
Ottawa-Gatineau,3/1/1999,51.2
Ontario,3/1/1999,52.4
Ontario,3/1/1999,51.5
Manitoba,3/1/1999,50
Saskatchewan,3/1/1999,53.9
Saskatchewan,3/1/1999,52.9
Alberta,3/1/1999,44.2
Alberta,3/1/1999,46.2
British Columbia,3/1/1999,46.7
British Columbia,3/1/1999,50.9
Yukon,3/1/1999,60.7
Northwest Territories,3/1/1999,69.9
Newfoundland and Labrador,4/1/1999,62.5
Prince Edward Island,4/1/1999,47.9
Nova Scotia,4/1/1999,57.3
New Brunswick,4/1/1999,57.8
Quebec,4/1/1999,60.7
Quebec,4/1/1999,61.2
Ottawa-Gatineau,4/1/1999,54.6
Ontario,4/1/1999,55.5
Ontario,4/1/1999,53.4
Manitoba,4/1/1999,54.9
Saskatchewan,4/1/1999,57.9
Saskatchewan,4/1/1999,57.9
Alberta,4/1/1999,48.9
Alberta,4/1/1999,49.1
British Columbia,4/1/1999,55.4
British Columbia,4/1/1999,58.8
Yukon,4/1/1999,63.7
Northwest Territories,4/1/1999,69.9
Newfoundland and Labrador,5/1/1999,65.9
Prince Edward Island,5/1/1999,48.9
Nova Scotia,5/1/1999,59.9
New Brunswick,5/1/1999,58.9
Quebec,5/1/1999,60
Quebec,5/1/1999,61.8
Ottawa-Gatineau,5/1/1999,51.7
Ontario,5/1/1999,55.9
Ontario,5/1/1999,56.8
Manitoba,5/1/1999,56.5
Saskatchewan,5/1/1999,59.5
Saskatchewan,5/1/1999,59.5
Alberta,5/1/1999,51.9
Alberta,5/1/1999,51.9
British Columbia,5/1/1999,55
British Columbia,5/1/1999,59.8
Yukon,5/1/1999,65.9
Northwest Territories,5/1/1999,69.9
Newfoundland and Labrador,6/1/1999,63.9
Prince Edward Island,6/1/1999,49.4
Nova Scotia,6/1/1999,59.9
New Brunswick,6/1/1999,59.3
Quebec,6/1/1999,57.2
Quebec,6/1/1999,60.6
Ottawa-Gatineau,6/1/1999,53.1
Ontario,6/1/1999,53.3
Ontario,6/1/1999,55.2
Manitoba,6/1/1999,56.5
Saskatchewan,6/1/1999,59.5
Saskatchewan,6/1/1999,57.9
Alberta,6/1/1999,51
Alberta,6/1/1999,51.6
British Columbia,6/1/1999,56
British Columbia,6/1/1999,60
Yukon,6/1/1999,67.5
Northwest Territories,6/1/1999,73.9
Newfoundland and Labrador,7/1/1999,64.7
Prince Edward Island,7/1/1999,52.6
Nova Scotia,7/1/1999,59.5
New Brunswick,7/1/1999,60.3
Quebec,7/1/1999,61.6
Quebec,7/1/1999,63.8
Ottawa-Gatineau,7/1/1999,54.9
Ontario,7/1/1999,56.6
Ontario,7/1/1999,59.6
Manitoba,7/1/1999,56.8
Saskatchewan,7/1/1999,60.3
Saskatchewan,7/1/1999,60.3
Alberta,7/1/1999,51.5
Alberta,7/1/1999,52.8
British Columbia,7/1/1999,58.9
British Columbia,7/1/1999,62.7
Yukon,7/1/1999,67.7
Northwest Territories,7/1/1999,73.9
Newfoundland and Labrador,8/1/1999,68.9
Prince Edward Island,8/1/1999,53.7
Nova Scotia,8/1/1999,65.7
New Brunswick,8/1/1999,64.3
Quebec,8/1/1999,68.5
Quebec,8/1/1999,67.3
Ottawa-Gatineau,8/1/1999,62.4
Ontario,8/1/1999,62.4
Ontario,8/1/1999,61.1
Manitoba,8/1/1999,60.6
Saskatchewan,8/1/1999,64.3
Saskatchewan,8/1/1999,63.7
Alberta,8/1/1999,55.3
Alberta,8/1/1999,56.8
British Columbia,8/1/1999,56.4
British Columbia,8/1/1999,62.7
Yukon,8/1/1999,69.8
Northwest Territories,8/1/1999,73.9
Newfoundland and Labrador,9/1/1999,70.1
Prince Edward Island,9/1/1999,56.3
Nova Scotia,9/1/1999,67.3
New Brunswick,9/1/1999,65
Quebec,9/1/1999,63.7
Quebec,9/1/1999,69.1
Ottawa-Gatineau,9/1/1999,62.1
Ontario,9/1/1999,63.6
Ontario,9/1/1999,65.2
Manitoba,9/1/1999,62.5
Saskatchewan,9/1/1999,65.9
Saskatchewan,9/1/1999,64.9
Alberta,9/1/1999,57.4
Alberta,9/1/1999,58.6
British Columbia,9/1/1999,62.1
British Columbia,9/1/1999,64.9
Yukon,9/1/1999,70.2
Northwest Territories,9/1/1999,77.9
Newfoundland and Labrador,10/1/1999,72.9
Prince Edward Island,10/1/1999,56.7
Nova Scotia,10/1/1999,66.9
New Brunswick,10/1/1999,64.2
Quebec,10/1/1999,68.9
Quebec,10/1/1999,69.7
Ottawa-Gatineau,10/1/1999,61.8
Ontario,10/1/1999,63.2
Ontario,10/1/1999,63.7
Manitoba,10/1/1999,62.4
Saskatchewan,10/1/1999,65.8
Saskatchewan,10/1/1999,64.9
Alberta,10/1/1999,57.6
Alberta,10/1/1999,58.5
British Columbia,10/1/1999,58.6
British Columbia,10/1/1999,64.9
Yukon,10/1/1999,71.9
Northwest Territories,10/1/1999,77.9
Newfoundland and Labrador,11/1/1999,71.9
Prince Edward Island,11/1/1999,61.2
Nova Scotia,11/1/1999,66.9
New Brunswick,11/1/1999,62.7
Quebec,11/1/1999,66.9
Quebec,11/1/1999,67.8
Ottawa-Gatineau,11/1/1999,61.7
Ontario,11/1/1999,63.1
Ontario,11/1/1999,63
Manitoba,11/1/1999,60.4
Saskatchewan,11/1/1999,63.4
Saskatchewan,11/1/1999,63.5
Alberta,11/1/1999,55.6
Alberta,11/1/1999,55.8
British Columbia,11/1/1999,56.9
British Columbia,11/1/1999,63.5
Yukon,11/1/1999,71.8
Northwest Territories,11/1/1999,77.9
Newfoundland and Labrador,12/1/1999,75.9
Prince Edward Island,12/1/1999,61.2
Nova Scotia,12/1/1999,69.3
New Brunswick,12/1/1999,66.6
Quebec,12/1/1999,65.4
Quebec,12/1/1999,69.2
Ottawa-Gatineau,12/1/1999,64.5
Ontario,12/1/1999,64.9
Ontario,12/1/1999,67.2
Manitoba,12/1/1999,62.5
Saskatchewan,12/1/1999,65.9
Saskatchewan,12/1/1999,64.9
Alberta,12/1/1999,57.4
Alberta,12/1/1999,57.5
British Columbia,12/1/1999,54.7
British Columbia,12/1/1999,63
Yukon,12/1/1999,71.8
Northwest Territories,12/1/1999,77.9
Newfoundland and Labrador,1/1/2000,74.9
Prince Edward Island,1/1/2000,63.3
Nova Scotia,1/1/2000,69.6
New Brunswick,1/1/2000,63.8
Quebec,1/1/2000,64
Quebec,1/1/2000,68.8
Ottawa-Gatineau,1/1/2000,62.7
Ontario,1/1/2000,63.5
Ontario,1/1/2000,65.1
Manitoba,1/1/2000,61.9
Saskatchewan,1/1/2000,65.2
Saskatchewan,1/1/2000,64.5
Alberta,1/1/2000,56.9
Alberta,1/1/2000,57
British Columbia,1/1/2000,60.2
British Columbia,1/1/2000,64.6
Yukon,1/1/2000,73.8
Northwest Territories,1/1/2000,77.9
Newfoundland and Labrador,2/1/2000,76.5
Prince Edward Island,2/1/2000,63.3
Nova Scotia,2/1/2000,70.8
New Brunswick,2/1/2000,68.6
Quebec,2/1/2000,69.4
Quebec,2/1/2000,73.8
Ottawa-Gatineau,2/1/2000,64.7
Ontario,2/1/2000,67.1
Ontario,2/1/2000,66.8
Manitoba,2/1/2000,63.8
Saskatchewan,2/1/2000,66.3
Saskatchewan,2/1/2000,66.9
Alberta,2/1/2000,57.7
Alberta,2/1/2000,58.2
British Columbia,2/1/2000,56.7
British Columbia,2/1/2000,64.9
Yukon,2/1/2000,74.2
Northwest Territories,2/1/2000,78.9
Newfoundland and Labrador,3/1/2000,82.7
Prince Edward Island,3/1/2000,65.4
Nova Scotia,3/1/2000,76.7
New Brunswick,3/1/2000,73.6
Quebec,3/1/2000,74
Quebec,3/1/2000,78.6
Ottawa-Gatineau,3/1/2000,72
Ontario,3/1/2000,73.1
Ontario,3/1/2000,74.1
Manitoba,3/1/2000,68.8
Saskatchewan,3/1/2000,71.4
Saskatchewan,3/1/2000,71.7
Alberta,3/1/2000,64.1
Alberta,3/1/2000,64.1
British Columbia,3/1/2000,66.9
British Columbia,3/1/2000,71.3
Yukon,3/1/2000,75.5
Northwest Territories,3/1/2000,83.9
Newfoundland and Labrador,4/1/2000,79.7
Prince Edward Island,4/1/2000,65.6
Nova Scotia,4/1/2000,72.9
New Brunswick,4/1/2000,71.1
Quebec,4/1/2000,67.6
Quebec,4/1/2000,71.7
Ottawa-Gatineau,4/1/2000,64.1
Ontario,4/1/2000,66.9
Ontario,4/1/2000,69.4
Manitoba,4/1/2000,65.6
Saskatchewan,4/1/2000,71.1
Saskatchewan,4/1/2000,70.3
Alberta,4/1/2000,62.5
Alberta,4/1/2000,61.6
British Columbia,4/1/2000,65.2
British Columbia,4/1/2000,70.6
Yukon,4/1/2000,78.9
Northwest Territories,4/1/2000,85.9
Newfoundland and Labrador,5/1/2000,80.2
Prince Edward Island,5/1/2000,68.2
Nova Scotia,5/1/2000,74.1
New Brunswick,5/1/2000,71.7
Quebec,5/1/2000,68.9
Quebec,5/1/2000,75
Ottawa-Gatineau,5/1/2000,68.7
Ontario,5/1/2000,70.8
Ontario,5/1/2000,72
Manitoba,5/1/2000,63.8
Saskatchewan,5/1/2000,69.4
Saskatchewan,5/1/2000,69
Alberta,5/1/2000,61.6
Alberta,5/1/2000,61.6
British Columbia,5/1/2000,66.9
British Columbia,5/1/2000,70
Yukon,5/1/2000,78.6
Northwest Territories,5/1/2000,85.9
Newfoundland and Labrador,6/1/2000,85.2
Prince Edward Island,6/1/2000,69.6
Nova Scotia,6/1/2000,78.7
New Brunswick,6/1/2000,76.6
Quebec,6/1/2000,75.5
Quebec,6/1/2000,81.7
Ottawa-Gatineau,6/1/2000,70.9
Ontario,6/1/2000,75.8
Ontario,6/1/2000,77.2
Manitoba,6/1/2000,67.4
Saskatchewan,6/1/2000,70.4
Saskatchewan,6/1/2000,71.2
Alberta,6/1/2000,63.5
Alberta,6/1/2000,63.9
British Columbia,6/1/2000,69.4
British Columbia,6/1/2000,72.1
Yukon,6/1/2000,80.9
Northwest Territories,6/1/2000,87.1
Newfoundland and Labrador,7/1/2000,87.9
Prince Edward Island,7/1/2000,69.6
Nova Scotia,7/1/2000,78.8
New Brunswick,7/1/2000,75.5
Quebec,7/1/2000,73.8
Quebec,7/1/2000,79.4
Ottawa-Gatineau,7/1/2000,68.9
Ontario,7/1/2000,72
Ontario,7/1/2000,75.5
Manitoba,7/1/2000,67.2
Saskatchewan,7/1/2000,73.3
Saskatchewan,7/1/2000,73.6
Alberta,7/1/2000,65.6
Alberta,7/1/2000,66.8
British Columbia,7/1/2000,74.6
British Columbia,7/1/2000,76.5
Yukon,7/1/2000,83.4
Northwest Territories,7/1/2000,88.3
Newfoundland and Labrador,8/1/2000,83.4
Prince Edward Island,8/1/2000,74.4
Nova Scotia,8/1/2000,74.7
New Brunswick,8/1/2000,70.1
Quebec,8/1/2000,71
Quebec,8/1/2000,77.8
Ottawa-Gatineau,8/1/2000,67.6
Ontario,8/1/2000,69.2
Ontario,8/1/2000,70.8
Manitoba,8/1/2000,63.8
Saskatchewan,8/1/2000,72.6
Saskatchewan,8/1/2000,72.3
Alberta,8/1/2000,62.5
Alberta,8/1/2000,65.2
British Columbia,8/1/2000,72.5
British Columbia,8/1/2000,76.6
Yukon,8/1/2000,83.9
Northwest Territories,8/1/2000,86.3
Newfoundland and Labrador,9/1/2000,86.3
Prince Edward Island,9/1/2000,72.9
Nova Scotia,9/1/2000,78.3
New Brunswick,9/1/2000,75
Quebec,9/1/2000,75.4
Quebec,9/1/2000,81.2
Ottawa-Gatineau,9/1/2000,73.6
Ontario,9/1/2000,74.4
Ontario,9/1/2000,77.6
Manitoba,9/1/2000,71.2
Saskatchewan,9/1/2000,75.4
Saskatchewan,9/1/2000,75.6
Alberta,9/1/2000,67.9
Alberta,9/1/2000,68
British Columbia,9/1/2000,74.9
British Columbia,9/1/2000,79.3
Yukon,9/1/2000,84.9
Northwest Territories,9/1/2000,87.5
Newfoundland and Labrador,10/1/2000,85.5
Prince Edward Island,10/1/2000,74.8
Nova Scotia,10/1/2000,80
New Brunswick,10/1/2000,75.8
Quebec,10/1/2000,73.7
Quebec,10/1/2000,81.5
Ottawa-Gatineau,10/1/2000,70.6
Ontario,10/1/2000,73
Ontario,10/1/2000,74.2
Manitoba,10/1/2000,68.6
Saskatchewan,10/1/2000,75.8
Saskatchewan,10/1/2000,76.1
Alberta,10/1/2000,68.8
Alberta,10/1/2000,68.3
British Columbia,10/1/2000,76.2
British Columbia,10/1/2000,80.2
Yukon,10/1/2000,87.4
Northwest Territories,10/1/2000,87.9
Newfoundland and Labrador,11/1/2000,88.6
Prince Edward Island,11/1/2000,77.9
Nova Scotia,11/1/2000,81.7
New Brunswick,11/1/2000,80.4
Quebec,11/1/2000,76.6
Quebec,11/1/2000,80.6
Ottawa-Gatineau,11/1/2000,73.6
Ontario,11/1/2000,74.1
Ontario,11/1/2000,74.7
Manitoba,11/1/2000,70.6
Saskatchewan,11/1/2000,75.1
Saskatchewan,11/1/2000,75.1
Alberta,11/1/2000,65.9
Alberta,11/1/2000,67.7
British Columbia,11/1/2000,74
British Columbia,11/1/2000,79.8
Yukon,11/1/2000,87.5
Northwest Territories,11/1/2000,87.9
Newfoundland and Labrador,12/1/2000,84.9
Prince Edward Island,12/1/2000,76.6
Nova Scotia,12/1/2000,76.4
New Brunswick,12/1/2000,77.5
Quebec,12/1/2000,73.4
Quebec,12/1/2000,75.8
Ottawa-Gatineau,12/1/2000,70
Ontario,12/1/2000,70
Ontario,12/1/2000,73.9
Manitoba,12/1/2000,67.3
Saskatchewan,12/1/2000,74
Saskatchewan,12/1/2000,74
Alberta,12/1/2000,65.3
Alberta,12/1/2000,66.2
British Columbia,12/1/2000,71.7
British Columbia,12/1/2000,76.5
Yukon,12/1/2000,87.5
Northwest Territories,12/1/2000,87.9
Newfoundland and Labrador,1/1/2001,81.1
Prince Edward Island,1/1/2001,79.3
Nova Scotia,1/1/2001,75.2
New Brunswick,1/1/2001,71.7
Quebec,1/1/2001,76.8
Quebec,1/1/2001,77.1
Ottawa-Gatineau,1/1/2001,70.5
Ontario,1/1/2001,70.4
Ontario,1/1/2001,70.6
Manitoba,1/1/2001,62.9
Saskatchewan,1/1/2001,72.4
Saskatchewan,1/1/2001,72.4
Alberta,1/1/2001,62.6
Alberta,1/1/2001,64.8
British Columbia,1/1/2001,69.4
British Columbia,1/1/2001,74.4
Yukon,1/1/2001,84.9
Northwest Territories,1/1/2001,87.7
Newfoundland and Labrador,2/1/2001,80.9
Prince Edward Island,2/1/2001,70.3
Nova Scotia,2/1/2001,75.3
New Brunswick,2/1/2001,71.4
Quebec,2/1/2001,77
Quebec,2/1/2001,77.4
Ottawa-Gatineau,2/1/2001,67.8
Ontario,2/1/2001,69.6
Ontario,2/1/2001,72.5
Manitoba,2/1/2001,67.7
Saskatchewan,2/1/2001,74.3
Saskatchewan,2/1/2001,74.2
Alberta,2/1/2001,65.3
Alberta,2/1/2001,66.1
British Columbia,2/1/2001,70.6
British Columbia,2/1/2001,73.9
Yukon,2/1/2001,82.7
Northwest Territories,2/1/2001,87.5
Newfoundland and Labrador,3/1/2001,80.9
Prince Edward Island,3/1/2001,70.2
Nova Scotia,3/1/2001,74.9
New Brunswick,3/1/2001,69.8
Quebec,3/1/2001,78.4
Quebec,3/1/2001,76.1
Ottawa-Gatineau,3/1/2001,66
Ontario,3/1/2001,67.3
Ontario,3/1/2001,71.1
Manitoba,3/1/2001,64.6
Saskatchewan,3/1/2001,69.6
Saskatchewan,3/1/2001,70.6
Alberta,3/1/2001,61.9
Alberta,3/1/2001,62.7
British Columbia,3/1/2001,66.5
British Columbia,3/1/2001,73
Yukon,3/1/2001,81.7
Northwest Territories,3/1/2001,87.5
Newfoundland and Labrador,4/1/2001,83.1
Prince Edward Island,4/1/2001,72.8
Nova Scotia,4/1/2001,78.2
New Brunswick,4/1/2001,75.2
Quebec,4/1/2001,81.9
Quebec,4/1/2001,81.3
Ottawa-Gatineau,4/1/2001,71.3
Ontario,4/1/2001,75.4
Ontario,4/1/2001,76.5
Manitoba,4/1/2001,63.4
Saskatchewan,4/1/2001,68.6
Saskatchewan,4/1/2001,69.1
Alberta,4/1/2001,61.3
Alberta,4/1/2001,62.6
British Columbia,4/1/2001,70.6
British Columbia,4/1/2001,73.1
Yukon,4/1/2001,80.2
Northwest Territories,4/1/2001,87.5
Newfoundland and Labrador,5/1/2001,88.4
Prince Edward Island,5/1/2001,74.9
Nova Scotia,5/1/2001,82.1
New Brunswick,5/1/2001,80.4
Quebec,5/1/2001,84.7
Quebec,5/1/2001,84.5
Ottawa-Gatineau,5/1/2001,74.9
Ontario,5/1/2001,78.8
Ontario,5/1/2001,81.3
Manitoba,5/1/2001,71.9
Saskatchewan,5/1/2001,77
Saskatchewan,5/1/2001,77.7
Alberta,5/1/2001,68.8
Alberta,5/1/2001,70.8
British Columbia,5/1/2001,73.4
British Columbia,5/1/2001,76.5
Yukon,5/1/2001,81.9
Northwest Territories,5/1/2001,88.6
Newfoundland and Labrador,6/1/2001,85.1
Prince Edward Island,6/1/2001,76.4
Nova Scotia,6/1/2001,77.2
New Brunswick,6/1/2001,75.8
Quebec,6/1/2001,78.7
Quebec,6/1/2001,75.5
Ottawa-Gatineau,6/1/2001,68.8
Ontario,6/1/2001,69.2
Ontario,6/1/2001,81.8
Manitoba,6/1/2001,75.6
Saskatchewan,6/1/2001,81.1
Saskatchewan,6/1/2001,81.9
Alberta,6/1/2001,69.3
Alberta,6/1/2001,75.4
British Columbia,6/1/2001,76.9
British Columbia,6/1/2001,82.4
Yukon,6/1/2001,87.4
Northwest Territories,6/1/2001,93.4
Newfoundland and Labrador,7/1/2001,77.6
Prince Edward Island,7/1/2001,76.2
Nova Scotia,7/1/2001,71.9
New Brunswick,7/1/2001,68.7
Quebec,7/1/2001,69.1
Quebec,7/1/2001,69
Ottawa-Gatineau,7/1/2001,62.9
Ontario,7/1/2001,64.4
Ontario,7/1/2001,72.4
Manitoba,7/1/2001,65.4
Saskatchewan,7/1/2001,71.9
Saskatchewan,7/1/2001,71.8
Alberta,7/1/2001,61
Alberta,7/1/2001,64.2
British Columbia,7/1/2001,67
British Columbia,7/1/2001,73.4
Yukon,7/1/2001,86.9
Northwest Territories,7/1/2001,89.4
Newfoundland and Labrador,8/1/2001,76.9
Prince Edward Island,8/1/2001,73
Nova Scotia,8/1/2001,71.8
New Brunswick,8/1/2001,69.1
Quebec,8/1/2001,71.9
Quebec,8/1/2001,73.5
Ottawa-Gatineau,8/1/2001,66.9
Ontario,8/1/2001,64.8
Ontario,8/1/2001,73.6
Manitoba,8/1/2001,66.3
Saskatchewan,8/1/2001,72.5
Saskatchewan,8/1/2001,72.4
Alberta,8/1/2001,61.8
Alberta,8/1/2001,63.9
British Columbia,8/1/2001,67.2
British Columbia,8/1/2001,71.9
Yukon,8/1/2001,79.8
Northwest Territories,8/1/2001,89.4
Newfoundland and Labrador,9/1/2001,79.7
Prince Edward Island,9/1/2001,69.4
Nova Scotia,9/1/2001,74.6
New Brunswick,9/1/2001,69.7
Quebec,9/1/2001,75.1
Quebec,9/1/2001,75.4
Ottawa-Gatineau,9/1/2001,69.5
Ontario,9/1/2001,71.2
Ontario,9/1/2001,82.3
Manitoba,9/1/2001,73.8
Saskatchewan,9/1/2001,83.9
Saskatchewan,9/1/2001,82.4
Alberta,9/1/2001,69.8
Alberta,9/1/2001,76.3
British Columbia,9/1/2001,73.8
British Columbia,9/1/2001,81.9
Yukon,9/1/2001,84.4
Northwest Territories,9/1/2001,93.4
Newfoundland and Labrador,10/1/2001,76.4
Prince Edward Island,10/1/2001,70.8
Nova Scotia,10/1/2001,68
New Brunswick,10/1/2001,66.4
Quebec,10/1/2001,72.3
Quebec,10/1/2001,69.4
Ottawa-Gatineau,10/1/2001,61.3
Ontario,10/1/2001,64.2
Ontario,10/1/2001,68.3
Manitoba,10/1/2001,64.9
Saskatchewan,10/1/2001,71.9
Saskatchewan,10/1/2001,71
Alberta,10/1/2001,56.7
Alberta,10/1/2001,64.2
British Columbia,10/1/2001,71.3
British Columbia,10/1/2001,77.1
Yukon,10/1/2001,82
Northwest Territories,10/1/2001,89
Newfoundland and Labrador,11/1/2001,71
Prince Edward Island,11/1/2001,67.6
Nova Scotia,11/1/2001,62.8
New Brunswick,11/1/2001,60.7
Quebec,11/1/2001,63.5
Quebec,11/1/2001,61.9
Ottawa-Gatineau,11/1/2001,57
Ontario,11/1/2001,60.1
Ontario,11/1/2001,61.8
Manitoba,11/1/2001,54.2
Saskatchewan,11/1/2001,64.4
Saskatchewan,11/1/2001,64.3
Alberta,11/1/2001,51
Alberta,11/1/2001,52.6
British Columbia,11/1/2001,62.3
British Columbia,11/1/2001,67.7
Yukon,11/1/2001,74.7
Northwest Territories,11/1/2001,83.6
Newfoundland and Labrador,12/1/2001,68.2
Prince Edward Island,12/1/2001,62.1
Nova Scotia,12/1/2001,61.9
New Brunswick,12/1/2001,61.3
Quebec,12/1/2001,58
Quebec,12/1/2001,63.9
Ottawa-Gatineau,12/1/2001,55.1
Ontario,12/1/2001,57.9
Ontario,12/1/2001,58.3
Manitoba,12/1/2001,49.7
Saskatchewan,12/1/2001,59.3
Saskatchewan,12/1/2001,58.9
Alberta,12/1/2001,46.5
Alberta,12/1/2001,50.5
British Columbia,12/1/2001,58.2
British Columbia,12/1/2001,61.9
Yukon,12/1/2001,73.6
Northwest Territories,12/1/2001,82
Newfoundland and Labrador,1/1/2002,68.7
Prince Edward Island,1/1/2002,59.4
Nova Scotia,1/1/2002,61.8
New Brunswick,1/1/2002,63.3
Quebec,1/1/2002,60.8
Quebec,1/1/2002,63.4
Ottawa-Gatineau,1/1/2002,56
Ontario,1/1/2002,58.6
Ontario,1/1/2002,63.7
Manitoba,1/1/2002,52.2
Saskatchewan,1/1/2002,63.6
Saskatchewan,1/1/2002,63.6
Alberta,1/1/2002,47.4
Alberta,1/1/2002,53.8
British Columbia,1/1/2002,57.8
British Columbia,1/1/2002,63.4
Yukon,1/1/2002,71.5
Northwest Territories,1/1/2002,82
Newfoundland and Labrador,2/1/2002,70.1
Prince Edward Island,2/1/2002,59.4
Nova Scotia,2/1/2002,64.2
New Brunswick,2/1/2002,63.3
Quebec,2/1/2002,63.5
Quebec,2/1/2002,65.6
Ottawa-Gatineau,2/1/2002,58
Ontario,2/1/2002,60.2
Ontario,2/1/2002,60.4
Manitoba,2/1/2002,54.3
Saskatchewan,2/1/2002,61.9
Saskatchewan,2/1/2002,61.9
Alberta,2/1/2002,51.8
Alberta,2/1/2002,55
British Columbia,2/1/2002,57.3
British Columbia,2/1/2002,63.9
Yukon,2/1/2002,70
Northwest Territories,2/1/2002,82
Newfoundland and Labrador,3/1/2002,71.1
Prince Edward Island,3/1/2002,60
Nova Scotia,3/1/2002,67.1
New Brunswick,3/1/2002,68.6
